"","GSM239371.CEL.gz","GSM239487.CEL.gz","GSM239489.CEL.gz","GSM239492.CEL.gz","GSM239497.CEL.gz","GSM239520.CEL.gz","GSM240427.CEL.gz"
"212696_s_at",728.076467869072,825.665235574016,626.859312255987,1147.96489663018,888.685474543928,920.292251936133,978.582520151159
"212697_at",1030.18614165014,895.6927923369,1195.48676287983,1235.18220776722,967.817856303044,1041.54929141366,1403.01153580464
"212698_s_at",38.8578392604953,67.5276869089795,96.224760137193,14.1838840517184,112.433787024352,30.4643735043015,12.2785351516654
"212699_at",445.358155380731,309.251820707082,842.390334035559,371.221842041361,541.165852831721,398.949038530507,523.991951037487
"212700_x_at",201.953163106752,231.079822228175,155.425509704349,244.221238167614,101.406921839546,167.795423689996,101.844426225614
"212701_at",128.940942578936,135.896910464549,409.496317286556,356.206635979366,354.612005834018,85.8238996348346,305.567038333024
"212702_s_at",906.679525979477,800.462054402853,319.939386871865,504.226074038014,124.990906284845,448.959825107777,618.621606009532
"212703_at",144.488124547176,123.60046595262,302.066358962199,120.407469922064,246.150543956711,91.1189146360367,237.118115889337
"212704_at",764.255812017274,238.173653544363,571.570561973926,923.754310406142,688.171515279326,540.380035847017,573.179029352582
"212705_x_at",134.220969914558,338.617040924257,424.261056156477,461.85525652451,220.441153198492,508.70315329489,406.727336441916
"212706_at",365.751257532738,337.570715047279,292.25083121103,256.186915085754,245.952407133753,302.951186561216,125.168391394337
"212707_s_at",104.88064324204,188.744685477413,175.757893513937,216.154670197311,163.662948053524,212.636113041064,218.577901461463
"212708_at",1071.67435001174,1855.41014180583,1379.95080022584,3451.69255239845,1484.91401236501,2645.04355560649,3188.62988419308
"212709_at",170.336921148326,232.918684775628,175.417979346587,486.075910371087,323.706532544586,328.108415005519,130.187015261527
"212710_at",185.984282774617,282.924444082921,141.013842162484,299.18989097423,320.314072279769,266.421898240807,265.75365164938
"212711_at",206.749089205158,405.321935271236,353.528425457899,490.309821541783,371.365480334308,325.293220890923,300.887926160825
"212712_at",315.589246033201,311.926850676085,473.509446652391,413.419610286972,395.400611878701,284.415370731829,496.931930526501
"212713_at",30.2026818535623,39.6307367753823,30.2288621561336,24.2998924616941,46.6604603878867,16.6572449085606,32.9327714268386
"212714_at",413.582137690775,298.954369262368,640.466153187853,535.93543105163,695.311490161236,434.754035006971,599.817654792178
"212715_s_at",12.3480488004251,4.69811258658127,9.20504892405481,16.6967823669964,10.4946130349408,15.6674590297769,13.4234292024325
"212716_s_at",4874.68213038413,5718.10674220149,4755.35967906915,3703.1381712313,5728.34628325102,4658.34703027196,2831.64855687993
"212717_at",289.415860015948,353.081156836923,589.031480627124,632.818328158479,450.848292086067,471.556250477504,537.324827546151
"212718_at",3422.20276188408,2871.44276545593,1933.97339558454,4003.44383258323,2503.33187072237,2774.3545077764,2312.74983706942
"212719_at",301.911394709925,158.622568219897,528.22298997745,438.856218061701,811.840839552627,122.450747284378,221.326551269793
"212720_at",390.089238893652,345.842325734849,322.305483347168,702.404250615792,365.05728726485,384.592514698819,320.937570342085
"212721_at",2637.78809070811,801.152578267629,1442.99353586914,2068.07652741823,941.815951056238,806.581247690934,1640.50695907718
"212722_s_at",479.934214578715,508.090482313725,541.102028920645,608.570336749243,351.821961924634,524.428052732974,454.863397421702
"212723_at",1209.39758751583,1016.8904230419,1301.76098238133,1426.98630365027,1068.08541429267,1113.09835646868,960.852642148302
"212724_at",105.945347920561,309.093288583301,301.934282160498,143.012296335836,178.138394284247,55.8678114310113,156.222357661766
"212725_s_at",1828.14961138297,1114.63300497957,1350.96457271209,2163.34518740097,1951.90334639574,1360.54669629298,1385.5305628635
"212726_at",345.772733857536,246.587590588809,273.053182839942,416.993815382767,261.442217326185,463.052599980127,326.253669144982
"212727_at",49.646174404242,104.77450588558,27.7041324656177,170.447103299495,270.831963738978,130.661455867096,35.6557869366063
"212728_at",39.4671722337589,21.8186246350197,28.9653811637871,35.9493623863708,66.0892760675709,16.6979569514685,52.1474282461357
"212729_at",257.42992124562,189.088648538962,420.774861658896,258.410203285858,309.525564903061,136.958900226517,346.287386162139
"212730_at",170.144962609273,155.327644027745,375.581339021899,312.91352116032,277.738430372806,101.636016700027,229.744658283452
"212731_at",207.961928121152,153.139798358729,323.178020394526,250.933618233186,475.894379596022,252.119544927662,187.749462471949
"212732_at",53.1750045702737,39.3064704413645,57.0080931595405,23.4483163332925,108.25023984381,32.9824808204951,33.4228776590287
"212733_at",398.969966063857,391.034351049021,515.620725709516,588.564115788872,687.559155931601,466.851345468777,539.874402828281
"212734_x_at",44315.3264381931,24030.7276463317,53511.8171562467,32480.7611618473,51234.3177760673,13516.7086100057,26317.5123011134
"212735_at",380.848925282242,223.639096995727,343.334337657915,369.845097625046,516.262085230385,201.818635306056,414.841561970483
"212736_at",191.206667912064,93.9271886451019,187.863382050806,103.249639306651,36.4885591391029,117.902915951059,77.5628479139867
"212737_at",1367.51778270345,5371.68588994847,1474.35536481148,1181.16560655458,2921.06830258701,2353.37459306727,1620.4021520721
"212738_at",51.0136715498341,703.850166608022,493.17456406401,167.411332061564,239.683155112451,676.008663999612,615.761151654333
"212739_s_at",972.018655282993,1098.08254691739,1344.85787276249,1614.83233276513,333.810205849952,663.22935704103,1240.59014988742
"212740_at",276.543953079069,319.081585853646,258.78389296434,637.983793103146,692.289242941578,600.250628933496,358.324995010753
"212741_at",139.736379886405,81.9868728936765,80.1913114016657,120.859526137958,278.02689819694,79.1841776973828,113.742409161599
"212742_at",1042.06520568721,686.060674041403,438.405058634725,1031.72189133607,933.512880122806,583.092672557445,982.212324670729
"212743_at",108.721098174302,86.8051195433641,131.900550153768,201.243669255358,190.351277905259,45.3830095679078,139.590351701402
"212744_at",200.168123008947,177.633015273491,423.868996031512,220.548897943738,194.395701225754,134.136521018689,203.988709787513
"212745_s_at",92.7007010669261,74.667283122677,31.2714651189515,78.1746927240639,25.3345040345167,44.6012076479997,81.0076494564983
"212746_s_at",282.06700015829,47.3441615652731,59.4109650518531,299.256137883625,248.008355919639,229.300704804445,41.0313246147812
"212747_at",439.296353470103,341.599047607733,594.48548965258,627.206168412726,628.536265553474,477.466581897718,421.221962019185
"212748_at",512.09852890099,458.51619839713,1001.75521163146,655.623024650607,714.927040148717,762.802174730959,656.726135319867
"212749_s_at",341.42940386926,645.086278428671,468.936759026963,946.302138793292,862.999500324567,751.799791275202,644.058237211135
"212750_at",150.270770471453,48.6306700922835,231.684682324044,26.3577588434614,32.4167719939975,70.3817109906627,27.8734695721944
"212751_at",798.763616404366,1017.04950735315,668.040447021665,857.582448083424,485.80200750686,727.714493555023,879.168403229344
"212752_at",451.460538910727,330.205073989154,220.76477625904,1056.05216330606,224.536652751336,468.861724496646,631.886072751011
"212753_at",200.080611666479,276.791716832227,447.852756010615,384.258314840069,236.188285454642,291.792772767999,407.812134069197
